

------------------- CYCLE: 1
-- SCATTER
------------------- CYCLE: 17
-- SCATTER
scatter | en: -4.46751
-- STAGE 1
loop: 1 | en_min: -6.18563
loop: 14 | en_min: -6.24206
loop: 25 | en_min: -6.37833
-- STAGE 2
loop: 30 | en_min: -6.63947
loop: 68 | en_min: -6.68457
loop: 76 | en_min: -6.7033
loop: 92 | en_min: -6.89061
loop: 120 | en_min: -7.17837
loop: 130 | en_min: -7.25796
loop: 174 | en_min: -7.30482
loop: 414 | en_min: -7.31417
loop: 543 | en_min: -7.3831
loop: 657 | en_min: -7.40238
cycle_min: -7.40238


------------------- CYCLE: 18
-- SCATTER
scatter | en: -4.5255
-- STAGE 1
loop: 1 | en_min: -5.74954
loop: 2 | en_min: -5.98684
loop: 13 | en_min: -6.09865
loop: 132 | en_min: -6.15065
loop: 163 | en_min: -6.16426
loop: 178 | en_min: -6.21807
loop: 217 | en_min: -6.23173
loop: 218 | en_min: -6.2423
loop: 219 | en_min: -6.27693
loop: 239 | en_min: -6.31409
loop: 275 | en_min: -6.32179
loop: 297 | en_min: -6.38108
-- STAGE 2
loop: 87 | en_min: -6.56724
loop: 98 | en_min: -6.65168
loop: 153 | en_min: -6.80134
loop: 208 | en_min: -6.82445
loop: 390 | en_min: -6.84281
loop: 392 | en_min: -7.06634
loop: 409 | en_min: -7.10044
loop: 477 | en_min: -7.27203
loop: 490 | en_min: -7.43287
loop: 495 | en_min: -7.48007
loop: 496 | en_min: -7.58289
loop: 497 | en_min: -7.67834
loop: 502 | en_min: -7.81635
loop: 510 | en_min: -7.88713
loop: 522 | en_min: -7.98617
loop: 537 | en_min: -8.04736
loop: 556 | en_min: -8.29797
loop: 601 | en_min: -8.57378
cycle_min: -8.57378


------------------- CYCLE: 19
-- SCATTER
scatter | en: 20.9668
-- STAGE 1
loop: 4 | en_min: -4.64428
loop: 6 | en_min: -4.88483
loop: 11 | en_min: -5.88067
-- STAGE 2
loop: 51 | en_min: -6.19161
loop: 55 | en_min: -6.24677
loop: 114 | en_min: -6.39845
loop: 115 | en_min: -6.59319
loop: 227 | en_min: -6.62743
loop: 307 | en_min: -6.73575
loop: 369 | en_min: -6.89753
loop: 548 | en_min: -7.02885
loop: 581 | en_min: -7.08179
loop: 648 | en_min: -7.15337
cycle_min: -7.15337


------------------- CYCLE: 20
-- SCATTER
scatter | en: -6.10223
-- STAGE 1
loop: 4 | en_min: -6.22651
loop: 5 | en_min: -6.44454
loop: 24 | en_min: -6.44766
loop: 52 | en_min: -6.48922
loop: 56 | en_min: -6.49512
loop: 62 | en_min: -6.62902
loop: 167 | en_min: -6.77114
-- STAGE 2
loop: 120 | en_min: -6.77805
loop: 122 | en_min: -6.86567
loop: 151 | en_min: -7.02657
loop: 173 | en_min: -7.09948
loop: 177 | en_min: -7.18377
loop: 181 | en_min: -7.24981
loop: 184 | en_min: -7.29858
loop: 186 | en_min: -7.67602
loop: 194 | en_min: -7.93839
loop: 214 | en_min: -8.01739
loop: 269 | en_min: -8.08377
loop: 290 | en_min: -8.16109
loop: 303 | en_min: -8.22422
loop: 392 | en_min: -8.48083
loop: 513 | en_min: -8.85731
cycle_min: -8.85731


RESULTS:
1: -8.80741
2: -7.76646
3: -8.19648
4: -7.07952
5: -8.97335
6: -6.61924
7: -7.1338
8: -8.98858
9: -7.31091
10: -8.82245
11: -6.85473
12: -8.25519
13: -7.30236
14: -7.18026
15: -7.4606
16: -8.98482
17: -7.40238
18: -8.57378
19: -7.15337
20: -8.85731

TOTAL MIN:
8: -8.98858
